reference,wholesale_list,wholesale_sale,retail_list,retail_sale
DEMO-001,42.00,36.00,74.00,68.00
DEMO-002,42.00,36.00,74.00,68.00
DEMO-003,42.00,36.00,74.00,68.00
DEMO-004,42.00,36.00,74.00,68.00
DEMO-005,42.00,36.00,74.00,68.00
DEMO-006,42.00,36.00,74.00,68.00
DEMO-007,42.00,36.00,74.00,68.00
DEMO-008,42.00,36.00,74.00,68.00
DEMO-009,42.00,36.00,74.00,68.00
DEMO-010,42.00,36.00,74.00,68.00
DEMO-011,42.00,36.00,74.00,68.00
DEMO-012,42.00,36.00,74.00,68.00
DEMO-013,42.00,36.00,74.00,68.00
DEMO-014,42.00,36.00,74.00,68.00
DEMO-015,42.00,36.00,74.00,68.00
DEMO-016,42.00,36.00,74.00,68.00
DEMO-017,42.00,36.00,74.00,68.00
DEMO-018,42.00,36.00,74.00,68.00
DEMO-019,42.00,36.00,74.00,68.00
DEMO-020,42.00,36.00,74.00,68.00
DEMO-021,42.00,36.00,74.00,68.00
DEMO-022,42.00,36.00,74.00,68.00
DEMO-023,42.00,36.00,74.00,68.00
DEMO-024,42.00,36.00,74.00,68.00
DEMO-025,42.00,36.00,74.00,68.00
DEMO-026,42.00,36.00,74.00,68.00
DEMO-027,42.00,36.00,74.00,68.00
DEMO-028,42.00,36.00,74.00,68.00
DEMO-029,42.00,36.00,74.00,68.00
DEMO-030,42.00,36.00,74.00,68.00
DEMO-031,42.00,36.00,74.00,68.00
DEMO-032,42.00,36.00,74.00,68.00
DEMO-033,42.00,36.00,74.00,68.00
DEMO-034,42.00,36.00,74.00,68.00
DEMO-035,42.00,36.00,74.00,68.00
DEMO-036,42.00,36.00,74.00,68.00
DEMO-037,42.00,36.00,74.00,68.00
DEMO-038,42.00,36.00,74.00,68.00
DEMO-039,42.00,36.00,74.00,68.00
DEMO-040,42.00,36.00,74.00,68.00
DEMO-041,42.00,36.00,74.00,68.00
DEMO-042,42.00,36.00,74.00,68.00
DEMO-043,42.00,36.00,74.00,68.00
DEMO-044,42.00,36.00,74.00,68.00
DEMO-045,42.00,36.00,74.00,68.00
DEMO-046,42.00,36.00,74.00,68.00
DEMO-047,42.00,36.00,74.00,68.00
DEMO-048,42.00,36.00,74.00,68.00
DEMO-049,42.00,36.00,74.00,68.00
